,sentyr,songername,demean_logprisonsentmonths,christian,aba_best,x_black,x_dem,age,trial,gender
12058,2008,"SCHWAB, ARTHUR J.",-0.21930798888206482,0.0,0.0,0.0,0.0,62.0,0.02777777798473835,1.0
12945,2010,"SPRINGMANN, THERESA LAZAR",0.4428466856479645,0.0,1.0,0.0,0.0,54.0,0.0,0.0
2548,2007,"COLLINS, AUDREY B.",-0.11076342314481735,0.0,0.0,1.0,1.0,62.0,0.01923076994717121,0.0
9540,2001,"MOODY, JAMES S.",0.7220049500465393,1.0,1.0,0.0,1.0,54.0,0.2211538404226303,1.0
4299,1999,"FORRESTER, J. OWEN",0.43546485900878906,1.0,0.0,0.0,0.0,60.0,0.15625,1.0
6262,2009,"HOWARD, MALCOLM J.",-0.35786882042884827,1.0,0.0,0.0,0.0,70.0,0.024390242993831635,1.0
1908,1997,"CAMPBELL, TENA",0.15972793102264404,0.0,1.0,0.0,1.0,53.0,0.0,0.0
8884,1999,"MCBRYDE, JOHN H.",0.021548647433519363,1.0,1.0,0.0,0.0,68.0,0.05263157933950424,1.0
13745,1998,"TRAGER, DAVID G.",-0.02757275477051735,0.0,1.0,0.0,1.0,61.0,0.1034482792019844,1.0
13340,2010,"SWAIN, LAURA T.",-2.235062837600708,1.0,0.0,1.0,1.0,52.0,0.0,0.0
11265,2002,"REDDEN, JAMES ANTHONY, JR.",0.059790827333927155,0.0,1.0,0.0,1.0,73.0,0.04545454680919647,1.0
3217,1994,"DEARIE, RAYMOND J.",-0.19694781303405762,0.0,0.0,0.0,0.0,50.0,0.0,1.0
8313,2003,"LONGSTAFF, RONALD EARL",-0.03307872265577316,1.0,1.0,0.0,0.0,62.0,0.09909909963607788,1.0
625,2009,"BARTLE, HARVEY, III",0.19041496515274048,1.0,1.0,0.0,0.0,68.0,0.05882352963089943,1.0
123,2005,"ALBRITTON, WILLIAM H., III",-0.046813301742076874,1.0,1.0,0.0,0.0,69.0,0.04054053872823715,1.0
8000,1999,"LEGGE, CHARLES A.",-0.20498304069042206,0.0,1.0,0.0,0.0,69.0,0.05714285746216774,1.0
5509,2006,"HARMON, MELINDA F.",0.843004584312439,0.0,0.0,0.0,0.0,60.0,0.05263157933950424,0.0
13642,1997,"TIDWELL, GEORGE ERNEST",-0.4679599106311798,1.0,1.0,0.0,1.0,66.0,0.25,1.0
9455,2009,"MINALDI, PATRICIA HEAD",0.25985392928123474,0.0,0.0,0.0,0.0,50.0,0.1111111119389534,0.0
13500,1999,"TEVRIZIAN, DICKRAN M., JR.",0.36670663952827454,1.0,1.0,0.0,0.0,59.0,0.022727273404598236,1.0
12304,1998,"SHANAHAN, THOMAS MICHAEL",0.14565196633338928,0.0,0.0,0.0,1.0,64.0,0.10526315867900848,1.0
15083,2003,"YOUNG, WILLIAM G.",1.0456827878952026,1.0,0.0,0.0,0.0,63.0,0.125,1.0
7568,1997,"KORNMANN, CHARLES B.",-0.5354136228561401,0.0,0.0,0.0,1.0,60.0,0.0,1.0
7758,2009,"LAMBERTH, ROYCE C.",1.6282334327697754,1.0,0.0,0.0,0.0,66.0,0.125,1.0
4616,1993,"GARCIA, HIPOLITO FRANK",-0.3914780616760254,0.0,0.0,0.0,1.0,68.0,0.0,1.0
6423,2000,"HUNTER, ELMO B.",1.0338726043701172,1.0,1.0,0.0,1.0,85.0,0.0,1.0
12355,2002,"SHARP, ALLEN",-0.27595755457878113,1.0,0.0,0.0,0.0,70.0,0.02083333395421505,1.0
10634,2006,"PEPPER, W. ALLEN, JR.",-0.3094131350517273,1.0,0.0,0.0,1.0,65.0,0.02222222276031971,1.0
2344,1999,"CLARK, RUSSELL G.",0.13190408051013947,1.0,0.0,0.0,1.0,74.0,0.10526315867900848,1.0
7567,1995,"KORNMANN, CHARLES B.",0.0,0.0,0.0,0.0,1.0,58.0,0.0,1.0
7523,2008,"KOLLAR-KOTELLY, COLLEEN",1.0796270370483398,0.0,1.0,0.0,1.0,65.0,0.05263157933950424,0.0
3082,2002,"DARRAH, JOHN W.",-0.594523549079895,0.0,0.0,0.0,1.0,64.0,0.025641025975346565,1.0
2231,1999,"CHAMBERS, ROBERT CHARLES",0.12995609641075134,1.0,0.0,0.0,1.0,47.0,0.0,1.0
14644,2001,"WILHOIT, HENRY R., JR.",0.04561406001448631,1.0,1.0,0.0,0.0,66.0,0.03448275849223137,1.0
12757,1995,"SMITH, REBECCA BEACH",1.0325262546539307,1.0,0.0,0.0,0.0,46.0,0.75,0.0
501,1998,"BAIRD, LOURDES GILLESPIE",-0.09813310205936432,0.0,1.0,0.0,0.0,63.0,0.1071428582072258,0.0
8428,1997,"LYNCH, EUGENE F.",0.5581881999969482,0.0,1.0,0.0,0.0,66.0,0.5,1.0
3954,2008,"EZRA, DAVID A.",-0.011798694729804993,0.0,0.0,0.0,0.0,61.0,0.0714285746216774,1.0
131,1994,"ALDRICH, ANN",-0.1833786964416504,1.0,0.0,0.0,1.0,67.0,0.0,0.0
8153,1995,"LEW, RONALD SING WAI",0.4504272937774658,1.0,0.0,0.0,0.0,54.0,0.0,1.0
7982,2001,"LEGG, BENSON EVERETT",0.46006593108177185,1.0,1.0,0.0,0.0,54.0,0.1315789520740509,1.0
1039,2005,"BLACKBURN, SHARON LOVELACE",-0.0494110994040966,1.0,0.0,0.0,0.0,55.0,0.19512194395065308,0.0
11162,2006,"RAMBO, SYLVIA H.",0.5066858530044556,1.0,0.0,0.0,1.0,70.0,0.033898305147886276,0.0
2402,2011,"CLEVERT, CHARLES N., JR.",-0.07676854729652405,1.0,1.0,1.0,1.0,64.0,0.011363636702299118,1.0
8121,1994,"LETTS, J. SPENCER",1.5951706171035767,0.0,0.0,0.0,0.0,60.0,0.0,1.0
14080,2008,"VIETOR, HAROLD D.",-1.570033073425293,1.0,1.0,0.0,1.0,77.0,0.0,1.0
1683,2009,"BUNNING, DAVID L.",-0.1269601732492447,0.0,0.0,0.0,0.0,43.0,0.05128205195069313,1.0
9348,2002,"MILES, WENDELL A.",0.10603451728820801,1.0,1.0,0.0,0.0,86.0,1.0,1.0
12742,1999,"SMITH, ORTRIE D.",-0.2207650989294052,1.0,0.0,0.0,1.0,53.0,0.1090909093618393,1.0
9220,1994,"MELTON, HOWELL W.",1.1447490453720093,1.0,1.0,0.0,1.0,71.0,0.6666666865348816,1.0
13659,2003,"TILLEY, NORWOOD CARLTON, JR.",-0.2399684637784958,1.0,1.0,0.0,0.0,60.0,0.02985074557363987,1.0
8527,2002,"MANNING, BLANCHE M.",0.13883145153522491,0.0,0.0,1.0,1.0,68.0,0.19512194395065308,0.0
13265,2006,"STRAND, ROGER G.",0.7531429529190063,1.0,0.0,0.0,0.0,72.0,0.0,1.0
1461,2003,"BROOMFIELD, ROBERT C.",1.3530521392822266,1.0,1.0,0.0,0.0,70.0,0.125,1.0
7996,1994,"LEGGE, CHARLES A.",0.7575556635856628,0.0,1.0,0.0,0.0,64.0,0.0,1.0
14253,2009,"WALTER, DONALD E.",-0.5116602182388306,0.0,0.0,0.0,0.0,73.0,0.20000000298023224,1.0
6535,2000,"IRENAS, JOSEPH ERON",0.18819434940814972,1.0,1.0,0.0,0.0,60.0,0.0476190485060215,1.0
3660,2011,"DUVAL, STANWOOD R., JR.",-0.12117693573236465,0.0,0.0,0.0,1.0,69.0,0.0,1.0
11939,2005,"SAVAGE, TIMOTHY J.",0.006006255745887756,0.0,1.0,0.0,0.0,59.0,0.1230769231915474,1.0
5930,2000,"HITTNER, DAVID",0.4085051119327545,0.0,1.0,0.0,0.0,61.0,0.14414414763450623,1.0
10011,2008,"NEVAS, ALAN H.",0.21485187113285065,0.0,1.0,0.0,0.0,80.0,0.09090909361839294,1.0
8651,1998,"MARSHALL, CONSUELO BLAND",-0.4085157513618469,1.0,0.0,1.0,1.0,62.0,0.0625,0.0
8210,2005,"LINDBERG, GEORGE W.",0.3348276615142822,1.0,0.0,0.0,0.0,73.0,0.0625,1.0
6582,2000,"JACK, JANIS GRAHAM",0.3643873333930969,1.0,0.0,0.0,1.0,54.0,0.06403940916061401,0.0
6750,2002,"JOHNSON, NORMA HOLLOWAY",-7.094721794128418,1.0,0.0,1.0,1.0,70.0,0.0,0.0
11613,2008,"ROSEN, GERALD ELLIS",0.021405361592769623,0.0,0.0,0.0,0.0,57.0,0.02380952425301075,1.0
11259,1996,"REDDEN, JAMES ANTHONY, JR.",-0.02938699722290039,0.0,1.0,0.0,1.0,67.0,0.20000000298023224,1.0
778,1993,"BEER, PETER H.",0.0,0.0,1.0,0.0,1.0,65.0,0.0,1.0
1929,2003,"CAMPBELL, TODD J.",0.05708727985620499,0.0,1.0,0.0,1.0,47.0,0.0476190485060215,1.0
3455,2009,"DORSEY, PETER C.",-0.310287743806839,0.0,1.0,0.0,0.0,78.0,0.023255813866853714,1.0
12284,1994,"SHADUR, MILTON IRVING",-0.5061664581298828,0.0,0.0,0.0,1.0,70.0,0.0,1.0
1694,2000,"BUNTON, LUCIUS DESHA, III",0.32388854026794434,1.0,1.0,0.0,1.0,76.0,0.3333333432674408,1.0
10051,2002,"NICKERSON, WILLIAM M.",0.0860472097992897,1.0,1.0,0.0,0.0,69.0,0.09756097197532654,1.0
2371,2011,"CLELAND, ROBERT H.",0.5583196878433228,1.0,0.0,0.0,0.0,64.0,0.0,1.0
14693,1992,"WILLIAMS, ANN CLAIRE",0.038797855377197266,1.0,0.0,1.0,1.0,43.0,0.0,0.0
8993,2002,"MCKEAGUE, DAVID WILLIAM",-0.245785653591156,0.0,0.0,0.0,0.0,56.0,0.021978022530674934,1.0
6230,1998,"HOWARD, ALEX T., JR.",-0.19897818565368652,1.0,1.0,0.0,0.0,74.0,0.0,1.0
6302,2009,"HUCK, PAUL C.",-0.11817760765552521,0.0,1.0,0.0,1.0,69.0,0.14141413569450378,1.0
4586,2001,"GARBIS, MARVIN J.",-0.1443026214838028,0.0,0.0,0.0,0.0,65.0,0.17283950746059418,1.0
10850,2008,"POLOZOLA, FRANK J.",0.2679097652435303,0.0,1.0,0.0,1.0,66.0,0.06060606241226196,1.0
11094,1998,"RAFEEDIE, EDWARD",0.7154079079627991,0.0,1.0,0.0,0.0,69.0,0.09090909361839294,1.0
4661,2006,"GARDNER, JAMES KNOLL",0.7481916546821594,0.0,1.0,0.0,0.0,66.0,0.37037035822868347,1.0
4536,2008,"GADOLA, PAUL V.",0.3983963131904602,0.0,0.0,0.0,0.0,79.0,0.0357142873108387,1.0
5182,2003,"GRIESA, THOMAS P.",-0.047635581344366074,0.0,0.0,0.0,0.0,73.0,0.1794871836900711,1.0
7531,2000,"KOPF, RICHARD GEORGE",-0.21657495200634003,1.0,1.0,0.0,0.0,54.0,0.07042253762483597,1.0
410,1999,"ASPEN, MARVIN E.",-1.9018700122833252,0.0,1.0,0.0,1.0,65.0,0.0,1.0
6615,1994,"JACKSON, RAYMOND A.",-0.3015322685241699,1.0,1.0,1.0,1.0,45.0,0.0,1.0
32,1996,"ADAMS, HENRY LEE",-0.06329953670501709,1.0,0.0,1.0,1.0,51.0,0.26229506731033325,1.0
7327,1998,"KENT, SAMUEL B.",0.29752588272094727,1.0,1.0,0.0,0.0,49.0,0.0,1.0
9906,2002,"MURPHY, HAROLD L.",0.1961727887392044,1.0,1.0,0.0,1.0,75.0,0.04285714402794838,1.0
9280,2004,"MESSITTE, PETER J.",0.046738751232624054,0.0,1.0,0.0,1.0,63.0,0.1090909093618393,1.0
9585,1986,"MOORE, JOHN HENRY, II",1.3239688873291016,1.0,1.0,0.0,0.0,57.0,0.0,1.0
5286,1997,"HADEN, CHARLES H., II",1.6911344528198242,1.0,0.0,0.0,0.0,60.0,0.0,1.0
598,2011,"BARNES, HARRY FRANCIS",0.2579590380191803,1.0,1.0,0.0,1.0,79.0,0.02380952425301075,1.0
12959,2003,"SPRIZZO, JOHN E.",0.03588779643177986,0.0,1.0,0.0,0.0,69.0,0.0416666679084301,1.0
8044,2002,"LEISURE, PETER K.",1.5947296619415283,1.0,1.0,0.0,0.0,73.0,1.0,1.0
4729,2006,"GERSHON, NINA",-1.200886607170105,0.0,0.0,0.0,1.0,66.0,0.0,0.0
13458,1994,"TAYLOR, GARY L.",1.1300156116485596,1.0,1.0,0.0,0.0,56.0,0.0,1.0
790,2009,"BEISTLINE, RALPH R.",0.21072445809841156,0.0,0.0,0.0,0.0,61.0,0.1666666716337204,1.0
1100,1995,"BLOCK, FREDERIC",-0.3454427719116211,1.0,1.0,0.0,1.0,61.0,0.0,1.0
1880,2003,"CAMP, JACK T., JR.",0.2088594287633896,1.0,0.0,0.0,0.0,60.0,0.06666667014360428,1.0
9156,2011,"MCNAMEE, STEPHEN M.",0.3897729814052582,0.0,0.0,0.0,0.0,69.0,0.0,1.0
12729,2001,"SMITH, GEORGE C.",-0.5820004343986511,1.0,1.0,0.0,0.0,66.0,0.02631578966975212,1.0
3171,2003,"DAVIS, MICHAEL J.",-0.023994876071810722,1.0,1.0,1.0,1.0,56.0,0.06521739065647125,1.0
226,1993,"AMON, CAROL BAGLEY",0.20688271522521973,1.0,1.0,0.0,0.0,47.0,0.0,0.0
2156,2007,"CAUTHRON, ROBIN J.",-0.009868120774626732,1.0,1.0,0.0,0.0,57.0,0.07692307978868484,0.0
294,2002,"ANDERSON, JOSEPH F., JR.",-0.061741892248392105,1.0,0.0,0.0,0.0,53.0,0.1666666716337204,1.0
15123,1996,"ZAPATA, FRANK R.",-0.12757337093353271,0.0,1.0,0.0,1.0,52.0,0.0,1.0
1454,1996,"BROOMFIELD, ROBERT C.",0.34594154357910156,1.0,1.0,0.0,0.0,63.0,0.4000000059604645,1.0
6490,2001,"HUTTON, HERBERT J.",-0.7650318145751953,1.0,0.0,1.0,0.0,64.0,0.18918919563293457,1.0
8962,2004,"MCDADE, JOE B.",-0.0075925919227302074,0.0,1.0,1.0,0.0,67.0,0.03191489353775978,1.0
2222,2004,"CEREZO, CARMEN CONSUELO",0.38969191908836365,0.0,0.0,0.0,1.0,64.0,0.0,0.0
1625,2011,"BUCKLEW, SUSAN C.",0.3955567479133606,1.0,0.0,0.0,1.0,69.0,0.03846153989434242,0.0
6332,2005,"HUDSPETH, HARRY LEE",0.021226396784186363,1.0,1.0,0.0,1.0,70.0,0.0,1.0
3810,1989,"ELLIS, T.S., III",-0.7985912561416626,1.0,1.0,0.0,0.0,49.0,0.25,1.0
11394,1998,"ROBERTS, RICHARD W.",3.777235269546509,1.0,0.0,1.0,1.0,45.0,0.0,1.0
12744,2001,"SMITH, ORTRIE D.",-0.16916756331920624,1.0,0.0,0.0,1.0,55.0,0.028985507786273956,1.0
1530,2010,"BROWN, WESLEY ERNEST",-0.12909553945064545,1.0,0.0,0.0,1.0,103.0,0.03999999910593033,1.0
5427,1991,"HANCOCK, JAMES HUGHES",0.30857133865356445,1.0,0.0,0.0,0.0,60.0,0.0,1.0
