,sentyr,judgeid,disparity_sex,cr1_disparity,cr2_disparity,cr3_disparity,cr4_disparity,cr5_disparity,cr6_disparity,cr7_disparity,cr8_disparity,cr9_disparity,cr10_disparity,cr11_disparity,cr12_disparity,cr13_disparity,cr14_disparity,cr15_disparity,cr16_disparity,cr17_disparity,cr18_disparity,cr19_disparity,cr20_disparity,cr21_disparity,cr22_disparity,black_disparity,trial_disparity,nocounts_disparity,malejudge,judge_yearsonbench
2004,2003,"GRIESA, THOMAS P.",-0.4426918029785156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571492433548,0.0,-0.7142857313156128,0.0,0.4285714328289032,0.0,0.0,0.0,0.0,0.1428571492433548,0.0,0.0,0.0,0.0,0.4285714328289032,0.1428571492433548,0.8571428060531616,1.0,31.0
3244,2005,"MANNING, BLANCHE M.",0.28877758979797363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,-0.25,0.0,0.25,0.0,-0.375,0.125,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,-0.0625,0.125,-0.4375,0.0,11.0
2703,2003,"KANE, YVETTE",0.12864898145198822,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909361839294,0.0,0.1818181872367859,0.0,0.0,0.0,-0.8181818127632141,0.09090909361839294,0.0,0.09090909361839294,0.27272728085517883,0.09090909361839294,0.0,0.0,0.0,0.0,0.27272728085517883,0.0,0.09090912342071533,0.0,5.0
2680,2004,"JUNELL, ROBERT A.",-0.0036667671520262957,-0.0965944230556488,0.0,0.0,0.0,0.0,0.0,0.0,-0.10712074488401413,0.04520121216773987,0.0,0.04458203911781311,0.010526316240429878,-0.0482972115278244,0.035913314670324326,0.010526316240429878,0.0,0.06315789371728897,0.0,0.0,0.0,0.010526316240429878,0.031578946858644485,-0.04582042992115021,-0.2222910225391388,-0.2848297357559204,1.0,1.0
612,2007,"BUCKLEW, SUSAN C.",0.07490968704223633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22580644488334656,0.0,0.25806450843811035,0.0,-0.33870968222618103,-0.08870968222618103,0.0,0.0,0.06451612710952759,-0.2177419364452362,0.09677419066429138,0.0,0.0,0.0,-0.024193555116653442,-0.12096774578094482,-21.44354820251465,0.0,14.0
5432,2008,"WHITTEMORE, JAMES D.",0.029739946126937866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14130434393882751,0.0,0.3913043439388275,0.0,-0.75,0.21739129722118378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09782609343528748,0.1304347813129425,-0.8586956262588501,1.0,8.0
3630,2010,"MOODY, JAMES M.",0.25609031319618225,0.03333333507180214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1666666865348816,0.0,0.2666666805744171,0.03333333507180214,-0.30000001192092896,0.06666667014360428,0.0,0.0,0.06666667014360428,0.0,0.0,0.0,0.0,0.0,0.20000000298023224,0.03333333507180214,-0.0666666030883789,1.0,15.0
1717,2007,"FRIEDMAN, JEROME B.",0.11477167159318924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2142857164144516,0.0,0.5357142686843872,-0.3333333432674408,-0.261904776096344,-0.261904776096344,0.0,0.0,0.0714285746216774,0.0,0.0357142873108387,0.0,0.0,0.0,0.4523809254169464,0.0,0.6785714626312256,1.0,10.0
1246,2003,"DAWSON, KENT J.",0.04747794196009636,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555559694767,0.0,0.0555555559694767,0.0,0.222222238779068,0.0,-0.2777777910232544,0.1111111119389534,0.0,0.0,0.0555555559694767,-0.2777777910232544,0.0555555559694767,0.0,0.0,0.0,0.3333333432674408,0.0555555559694767,0.3333333730697632,1.0,3.0
3580,2005,"MILLS, RICHARD H.",0.16351082921028137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444477558136,0.0,0.1666666716337204,0.0555555559694767,-0.8333333134651184,0.1111111119389534,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555559694767,0.0,0.3333333432674408,0.0555555559694767,1.0,1.0,20.0
515,2007,"BREYER, CHARLES R.",-0.3173825144767761,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.25,0.0,0.0833333358168602,0.0,0.0,0.0,0.1666666716337204,0.0,0.0833333358168602,0.0833333358168602,0.0,0.0,0.3333333432674408,0.1666666716337204,9.083333015441895,1.0,10.0
2059,2005,"HAGGERTY, ANCER L.",-0.7983118891716003,0.0,0.0,0.0,0.0,0.03846153989434242,0.0,0.0,0.0,-0.615384578704834,0.0,0.23076923191547394,0.0,0.03846153989434242,0.07692307978868484,0.0,0.0,0.07692307978868484,0.0,0.03846153989434242,0.0,0.03846153989434242,0.07692307978868484,0.1538461595773697,0.0,0.23076927661895752,1.0,11.0
