,sentyr,judgeid,demean_harshness,race1,race2,race3,race4,race5,race6,race7,race8,cr1,cr2,cr3,cr4,cr5,cr6,cr7,cr8,cr9,cr10,cr11,cr12,cr13,cr14,cr15,cr16,cr17,cr18,cr19,cr20,cr21,cr22,monsex,trial,nocounts,malejudge,judge_yearsonbench
5987,2004,"SACHS, HOWARD F.",-0.029502660036087036,0.5249999761581421,0.4749999940395355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.3499999940395355,0.07500000298023224,0.07500000298023224,0.0,0.0,0.0,0.07500000298023224,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.05000000074505806,1.149999976158142,1.0,25
6157,2003,"SCOTT, JEANNE E.",0.03083929605782032,0.9166666865348816,0.0833333358168602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2916666567325592,0.0,0.25,0.0416666679084301,0.1666666716337204,0.125,0.0,0.0,0.0416666679084301,0.0,0.0416666679084301,0.0,0.0416666679084301,0.0,0.25,0.0416666679084301,1.3333333730697632,0.0,5
3708,2009,"KEENAN, JOHN F.",0.04841740056872368,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,1.5,1.0,26
6145,2011,"SCHROEDER, THOMAS D.",-0.017414258792996407,0.6200000047683716,0.3400000035762787,0.019999999552965164,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.2800000011920929,0.019999999552965164,0.019999999552965164,0.25999999046325684,0.0,0.0,0.03999999910593033,0.0,0.07999999821186066,0.0,0.0,0.0,0.03999999910593033,0.07999999821186066,1.1399999856948853,1.0,3
3482,2006,"JONES, JAMES P.",0.07517727464437485,0.9056603908538818,0.07547169923782349,0.0,0.0,0.0,0.01886792480945587,0.0,0.0,0.019607843831181526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3921568691730499,0.0,0.3921568691730499,0.019607843831181526,0.09803921729326248,0.0,0.03921568766236305,0.0,0.0,0.0,0.03921568766236305,0.0,0.0,0.0,0.16981132328510284,0.1320754736661911,1.5094339847564697,1.0,10
1981,2007,"ELLISON, KEITH P.",0.09147875010967255,0.7857142686843872,0.2142857164144516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4615384638309479,0.0,0.07692307978868484,0.38461539149284363,0.0,0.0,0.07692307978868484,0.0,0.0,0.0,0.0,0.0,0.0714285746216774,0.0,3.0714285373687744,1.0,8
6343,2005,"SHOOB, MARVIN H.",-0.07981985062360764,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2916666567325592,0.0,0.1666666716337204,0.0416666679084301,0.1666666716337204,0.2083333283662796,0.0,0.0,0.0416666679084301,0.0,0.0833333358168602,0.0,0.0,0.0,0.0,0.0416666679084301,1.4583333730697632,1.0,26
7419,2008,"WILLIAMS, RICHARD L.",0.01833173632621765,0.21739129722118378,0.695652186870575,0.0,0.043478261679410934,0.0,0.0,0.043478261679410934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.2888889014720917,0.02222222276031971,0.20000000298023224,0.1111111119389534,0.0,0.0,0.0,0.0,0.04444444552063942,0.0,0.0,0.0,0.1304347813129425,0.08695652335882187,1.60869562625885,1.0,28
5918,2010,"ROSENBLATT, PAUL G.",0.17231029272079468,0.6842105388641357,0.05263157933950424,0.2631579041481018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222238779068,0.0,0.1111111119389534,0.0,0.0,0.2222222238779068,0.0,0.0,0.1111111119389534,0.0,0.0555555559694767,0.0,0.0,0.2777777910232544,0.0,0.05263157933950424,1.0526316165924072,1.0,26
374,2011,"BEATY, JAMES A., JR.",-0.008498634211719036,0.4000000059604645,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.06666667014360428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000059604645,0.0,0.2666666805744171,0.06666667014360428,0.0,0.0,0.0,0.0,0.06666667014360428,0.0,0.06666667014360428,0.06666667014360428,0.0,0.0,0.20000000298023224,0.06666667014360428,1.4666666984558105,1.0,17
6826,2006,"TARNOW, ARTHUR J.",0.006225067190825939,0.4000000059604645,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000298023224,0.0,0.30000001192092896,0.0,0.10000000149011612,0.10000000149011612,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.0,0.0,0.10000000149011612,0.10000000149011612,6.5,1.0,8
4039,2007,"LASNIK, ROBERT S.",-0.019621213898062706,0.7413793206214905,0.18965516984462738,0.017241379246115685,0.0517241396009922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017241379246115685,0.0,0.48275861144065857,0.0,0.1034482792019844,0.0,0.13793103396892548,0.08620689809322357,0.03448275849223137,0.0,0.0517241396009922,0.0517241396009922,0.017241379246115685,0.0,0.017241379246115685,0.0,0.1034482792019844,0.03448275849223137,1.5,1.0,9
141,2006,"ANDERSON, JOSEPH F., JR.",-0.04865516722202301,0.08695652335882187,0.9130434989929199,0.0,0.0,0.0,0.0,0.0,0.0,0.043478261679410934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6521739363670349,0.0,0.17391304671764374,0.0,0.043478261679410934,0.0,0.0,0.0,0.0,0.0,0.043478261679410934,0.0,0.043478261679410934,0.0,0.260869562625885,0.08695652335882187,1.1739130020141602,1.0,20
7297,2011,"WEINSTEIN, JACK B.",-0.07989698648452759,0.6666666865348816,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666865348816,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,44
