,sentyr,judgeid,disparity_race,cr1_disparity,cr2_disparity,cr3_disparity,cr4_disparity,cr5_disparity,cr6_disparity,cr7_disparity,cr8_disparity,cr9_disparity,cr10_disparity,cr11_disparity,cr12_disparity,cr13_disparity,cr14_disparity,cr15_disparity,cr16_disparity,cr17_disparity,cr18_disparity,cr19_disparity,cr20_disparity,cr21_disparity,cr22_disparity,monsex_disparity,trial_disparity,nocounts_disparity,malejudge,judge_yearsonbench
1505,2010,"DEGIUSTI, TIMOTHY D.",0.04878263175487518,-0.0476190485060215,0.0,0.0,0.0,-0.0476190485060215,0.0,0.0,0.0,0.0952381044626236,0.0,0.0,-0.0476190485060215,-0.2380952388048172,-0.190476194024086,0.0,0.0,-0.0476190485060215,0.0,0.5714285969734192,0.0,0.0,-0.0476190485060215,-0.1428571492433548,-0.190476194024086,-0.6666666269302368,1.0,3.0
114,2008,"ANDERSEN, WAYNE R.",0.0002679135650396347,-0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035714298486709595,0.0,0.0,0.0,-0.0714285671710968,-0.125,0.0,0.0,0.0,0.0,0.1428571492433548,0.0,0.1428571492433548,0.0,0.017857149243354797,0.017857149243354797,1.0,1.0,17.0
4501,2011,"NORGLE, CHARLES R., SR.",0.02773256227374077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606241226196,0.0,0.1515151560306549,0.0,0.1515151560306549,-0.27272728085517883,0.0,0.0,0.0,0.0,-0.09090909361839294,0.0,0.0,0.0,-0.09090909361839294,-0.09090909361839294,-0.6363636255264282,1.0,27.0
1029,2008,"CHESNEY, MAXINE M.",0.16858530044555664,-0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20000000298023224,0.0,0.20000000298023224,-0.10000000149011612,-0.10000000149011612,-0.20000000298023224,0.0,0.0,-0.10000000149011612,0.6000000238418579,0.0,0.0,0.0,0.0,-0.10000000149011612,0.0,-0.10000002384185791,0.0,13.0
389,2003,"BENNETT, RICHARD D.",-0.008333340287208557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
547,2011,"BOWEN, DUDLEY H., JR.",-0.0761583223938942,-0.1428571492433548,0.0,0.0,0.0,0.0,0.0,0.09090909361839294,0.0,-0.1038961112499237,0.0,0.07792207598686218,0.0,0.09090909361839294,-0.1428571492433548,0.09090909361839294,0.0,0.0,0.0,0.03896103799343109,0.0,0.0,0.0,-0.19480520486831665,0.0,-0.012987017631530762,1.0,32.0
3006,2006,"JENKINS, MARTIN J.",0.0829218178987503,-0.1111111119389534,0.0,0.0,0.0,0.0,0.0,-0.1111111119389534,0.0,0.0277777761220932,0.0,0.75,0.0,-0.3333333432674408,-0.1111111119389534,0.0,0.0,0.0,0.0,0.0,-0.1111111119389534,0.0,0.0,-0.1111111119389534,0.25,-1.4722223281860352,1.0,9.0
5944,2008,"TAKASUGI, ROBERT M.",0.27473023533821106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8888888955116272,0.0,0.0,-0.1111111119389534,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2222222238779068,0.0,0.05555558204650879,1.0,32.0
5295,2007,"SCHELL, RICHARD A.",0.012426148168742657,-0.0470588244497776,0.0,-0.0117647061124444,0.0,0.0,0.0,0.09349845349788666,-0.0117647061124444,0.021052628755569458,0.0,0.04582042992115021,-0.0470588244497776,0.11640866845846176,-0.1411764770746231,0.0,0.0,-0.0117647061124444,0.0,-0.0117647061124444,-0.0117647061124444,0.017337460070848465,0.0,-0.13560372591018677,-0.03529411926865578,-0.3065016269683838,1.0,19.0
6054,2003,"TODD, JAMES D.",0.1884755790233612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0714285671710968,0.0,0.0714285671710968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1428571492433548,0.0,0.0,0.0,0.25,0.75,1.0,18.0
5707,2009,"SPATT, ARTHUR D.",0.20047616958618164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,-0.4000000059604645,-0.20000000298023224,0.0,0.0,0.0,-0.20000000298023224,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0
6117,2007,"TURK, JAMES C.",-0.03024185076355934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36666667461395264,0.0,0.06666667014360428,-0.20000000298023224,0.01111111044883728,-0.10000000149011612,0.0,0.0,-0.10000000149011612,-0.04444444552063942,0.0,0.0,0.0,0.0,-0.10000000149011612,0.1111111119389534,0.5222221612930298,1.0,35.0
2128,2007,"GARCIA, EDWARD J.",0.12616859376430511,0.0,0.0,-0.0625,0.0,0.0,0.0,0.0,0.0,-0.0625,0.0,0.25,0.0,0.5,-0.375,-0.0625,0.0,-0.125,0.0,-0.0625,0.0,0.0,0.0,0.1875,-0.125,0.0625,1.0,23.0
536,2009,"BOWDRE, KARON O.",-0.0006192045984789729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01515151560306549,0.0,0.1818181872367859,0.0,0.24242424964904785,-0.27272728085517883,0.0,0.0,-0.13636364042758942,0.0,0.0,0.0,0.0,0.0,0.17676767706871033,0.0555555559694767,2.010100841522217,0.0,8.0
570,2011,"BOYLE, TERRENCE W.",0.014451716095209122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.347222238779068,-0.0416666679084301,0.138888880610466,0.0,-0.0972222238779068,-0.25,0.0,0.0,-0.01388888992369175,0.0,0.0,-0.0416666679084301,0.0,-0.0416666679084301,0.0277777761220932,0.0,0.0,1.0,27.0
5535,2009,"SIFTON, CHARLES P.",0.04285714030265808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666269302368,0.0,0.0,0.0,0.0,0.0,0.0,-0.1666666716337204,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0
606,2003,"BRIEANT, CHARLES L., JR.",-0.05220576375722885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285373687744,0.0,0.20000000298023224,0.0,0.20000000298023224,0.11428570747375488,-0.1428571492433548,0.0,-0.2857142984867096,-0.1428571492433548,0.0,0.0,0.0,0.0,0.0,0.20000000298023224,0.7999999523162842,1.0,32.0
3984,2010,"MCCALLA, JON P.",0.007651444058865309,0.0,0.0,0.0,0.0,-0.043478261679410934,0.0,0.0,0.02631578966975212,-0.03318077325820923,0.0,0.5446224212646484,0.05263157933950424,-0.09496568143367767,-0.30434781312942505,0.0,0.0,-0.08695652335882187,-0.043478261679410934,0.02631578966975212,0.0,-0.043478261679410934,0.0,-0.017162472009658813,0.02631578966975212,0.7048054933547974,1.0,18.0
4594,2003,"OWENS, WILBUR D., JR.",-0.17485228180885315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,-0.25,-0.5,1.0,31.0
5968,2006,"TEILBORG, JAMES A.",0.11303330957889557,0.0,0.0,-0.05263157933950424,0.0,0.0,0.0,0.0,0.0,-0.10526315867900848,0.0,0.017543882131576538,0.0,0.2280701845884323,-0.10526315867900848,0.0,0.0,-0.05263157933950424,0.0,0.28070175647735596,0.0,0.0,-0.21052631735801697,0.28070175647735596,-0.05263157933950424,0.5614035129547119,1.0,6.0
